honorary citizen of Gera subClassOf award winner, honorary citizen of Gera subClassOf award, award winner disjointWith award
tetradecagram subClassOf concave polygon, tetradecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
tridecagram subClassOf concave polygon, tridecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
pentadecagram subClassOf concave polygon, pentadecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
heptadecagram subClassOf concave polygon, heptadecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
hexadecagram subClassOf concave polygon, hexadecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
octadecagram subClassOf concave polygon, octadecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
icosagram subClassOf concave polygon, icosagram subClassOf convex polygon, concave polygon disjointWith convex polygon
enneadecagram subClassOf concave polygon, enneadecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
eight-pointed star subClassOf concave polygon, eight-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
six-pointed star subClassOf concave polygon, six-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
fourteen-pointed star subClassOf concave polygon, fourteen-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
eleven-pointed star subClassOf concave polygon, eleven-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
twenty four-pointed star subClassOf concave polygon, twenty four-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
four-pointed star subClassOf concave polygon, four-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
square star subClassOf concave polygon, square star subClassOf convex polygon, concave polygon disjointWith convex polygon
octagram subClassOf concave polygon, octagram subClassOf convex polygon, concave polygon disjointWith convex polygon
dodecagram subClassOf concave polygon, dodecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
seven-pointed star subClassOf concave polygon, seven-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
hendecagram subClassOf concave polygon, hendecagram subClassOf convex polygon, concave polygon disjointWith convex polygon
decagram subClassOf concave polygon, decagram subClassOf convex polygon, concave polygon disjointWith convex polygon
pentagram subClassOf concave polygon, pentagram subClassOf convex polygon, concave polygon disjointWith convex polygon
five-pointed star subClassOf concave polygon, five-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
barnstar subClassOf concave polygon, barnstar subClassOf convex polygon, concave polygon disjointWith convex polygon
enneagram subClassOf concave polygon, enneagram subClassOf convex polygon, concave polygon disjointWith convex polygon
hexagram subClassOf concave polygon, hexagram subClassOf convex polygon, concave polygon disjointWith convex polygon
heptagram subClassOf concave polygon, heptagram subClassOf convex polygon, concave polygon disjointWith convex polygon
henicosagram subClassOf concave polygon, henicosagram subClassOf convex polygon, concave polygon disjointWith convex polygon
twenty one-pointed star subClassOf concave polygon, twenty one-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
nine-pointed star subClassOf concave polygon, nine-pointed star subClassOf convex polygon, concave polygon disjointWith convex polygon
